-------------------------------------------------------------------
--   Please use this file to keep track of which
-- Cyclonic_Torrent  =  done
-- Plenilune_Embrace  =
-- Fevered_Pitch  =
-- Nocturnal_Combustion  =
-- Penumbral_Impact  =  done
-- Dark_Wave  =  done
-- Hexidiscs  =  done
-- Actinic_Burst  =  done
-- Viscid_Nectar  =
-- Axial_Bloom  =  done
-- Vertical_Cleave  =  done
-- Optic_Induration  =
-- Asthenic_Fog  =  done
-- Ion_Shower  =  done
-- Concussive_Oscillati  =
-- Primal_Drill  =  done
-- Disseverment  =  done
-- Glacier_Splitter  =  done
-- Tidal_Dive  =  done
-- Vapor_Spray  =  done
-- Saline_Coat  = done
-- Ink_Cloud  =  done
-- Mantle_Pierce  = done
-- Rock_Smash  = done
-- Diamondhide  = done
-- Enervation  = done
-- Quake_Stomp  = done
-- Hysteric_Barrage  =  done
-- Tail_Slap  = done
-- Water_Bomb  =  done
-- Magic_Hammer  = done
-- Bloodrake  =  done
-- Wings_of_Gehenna  =
-- Bilgestorm  =  done
-- Thundris_Shriek  = done
-- Regurgitation  = done
-- Delta_Thrust  = done
-- Insipid_Nip  =
-- Pandemic_Nip  =
-- Blazing_Bound  =  done
-- Molting_Burst  =
-- Rime_Spray  =
-- Acrid_Stream  =  done
-- Benthic_Typhoon  =  done
-- Pelagic_Tempest  = done
-- Osmosis  = done
-- Vacuole_Discharge  =
-- Spalsh_Breath = done
-- Shell_Bash = done
-- Shell_Guard = done
-- Blood_Saber = done
-- Fear_Touch = done
-- Sonic Boom = done
-- Water Wall = done
