---------------------------------------
Values 1 through 146 are FoV Regimes.
Values 147 through 559 are Hunt Registries.
Values 560 through 601 are Dominion Regimes.
Values 302 through 819 are Dominion Regimes.

---------------------------------------
Fields of Valor

Regime ID   Å™	Area   Å´	Listing   Å´
113 	Eastern Altepa Desert 	Poachers/Robbers/Reapers/Manticore
114 	The Sanctuary of Zi'Tah 	Ogreflies/Goobbue
115 	The Sanctuary of Zi'Tah 	Myxomycetes/Ogreflies
116 	The Sanctuary of Zi'Tah 	Parasites/Myxomycetes
117 	The Sanctuary of Zi'Tah 	Coeurls/Parasites
118 	The Sanctuary of Zi'Tah 	Golems/Coeurls
119 	Ro'Maeve 	Killing/Ominous Weapons
120 	Ro'Maeve 	Flagons
121 	Ro'Maeve 	Cursed Puppets
122 	Ro'Maeve 	Apocalyptic Weapons/Golems
123 	Ro'Maeve 	Infernal Weapons/Golems
124 	Yuhtunga Jungle 	Mandragoras/Lizards
125 	Yuhtunga Jungle 	Bees/Goblins
126 	Yuhtunga Jungle 	Opo-opo
127 	Yuhtunga Jungle 	Sahagin/Makara
128 	Yuhtunga Jungle 	Opo-opo/Crawlers
129 	Yhoator Jungle 	Lizards/Goblins
130 	Yhoator Jungle 	Mandragora/Wasps
131 	Yhoator Jungle 	Opo-opo
132 	Yhoator Jungle 	Crawlers/Opo-opo
133 	Yhoator Jungle 	Tonberry
134 	Western Altepa Desert 	Spiders/Essedarii
135 	Western Altepa Desert 	Dhalmel/Equites/Retiarius
136 	Western Altepa Desert 	Beetles/Cactuar
137 	Western Altepa Desert 	Goblins/Scorpions
138 	Western Altepa Desert 	Secutors/Lanistae
139 	Valley of Sorrows 	Raptors/Perytons
140 	Valley of Sorrows 	Raptors/Manticores
141 	Valley of Sorrows 	Perytons/Manticores
142 	Ru'Aun Gardens 	Flamingo/Sprinkler
143 	Ru'Aun Gardens 	Sprinklers/Dolls
144 	Ru'Aun Gardens 	Dolls
145 	Ru'Aun Gardens 	Fire/Air/Thunder Elementals
146 	Ru'Aun Gardens 	Ice/Earth/Water Elementals

---------------------------------------
Hunt Registry


---------------------------------------
Dominion OPs


---------------------------------------
Grounds of Valor

Page RegimeID     Area            Target MOBs
1    602    Ranguemont Pass     Wind Bats Wind Bats/Blade Bat Blade Bats
2    603    Ranguemont Pass     Seeker Bats Seeker Bats/Ooze Ooze
3    604    Ranguemont Pass     Goblin Mugger/Goblin Gambler
4    605    Ranguemont Pass     Goblin Leecher/Goblin Gambler
5    606    Ranguemont Pass     Stirge/Hecteyes
6    607    Ranguemont Pass     Bilesucker/Hovering Oculus
7    608    Ranguemont Pass     Goblin Hoodoo/Goblin Chaser
8    609    Ranguemont Pass     Goblin Tanner/Goblin Artificer
1    610  Bostaunieux Oubliette   Dark Aspic
2    611  Bostaunieux Oubliette   Funnel Bats/Werebat
3    612  Bostaunieux Oubliette   Members of the hound family/Haunt
4    613  Bostaunieux Oubliette   Bloodsucker
5    614  Bostaunieux Oubliette   Dabilla/Panna Cotta
6    615  Bostaunieux Oubliette   Blind Bat/Panna Cotta
7    616  Bostaunieux Oubliette   Nachtmahr
8    617  Bostaunieux Oubliette   Wurdalak/Blind Bat
1    618    Toraimarai Canal    Hell Bat/Makara
2    619    Toraimarai Canal    Fallen Knight/Lich/Dark Aspic
3    620    Toraimarai Canal    Dark Aspic/Bloodsucker
4    621    Toraimarai Canal    Scavenger Crab/Stygian Pugil
5    622    Toraimarai Canal    Starborer/Deviling Bats
6    623    Toraimarai Canal    Plunderer Crab/Sodden Bones
7    624    Toraimarai Canal    Blackwater Pugil/Drowned Bones
8    625    Toraimarai Canal    Flume Toad/Poroggo Excavator
1    626     Zeruhn Mines        Ding Bats
2    627     Zeruhn Mines        River Crab
3    628     Zeruhn Mines        Colliery Bat/Soot Crab
4    629     Zeruhn Mines        Colliery Bat/Burrower Worm
5    630     Zeruhn Mines        Colliery Bat/Veindigger Leech
1    631  King Ranperre's Tomb    Mouse Bat/Members of the Goblin family
2    632  King Ranperre's Tomb    Stone Eater/Wind Bats
3    633  King Ranperre's Tomb    Goblin Ambusher/Goblin Tinkerer/Goblin Butcher
4    634  King Ranperre's Tomb    Plague Bats/Rock Eater
5    635  King Ranperre's Tomb    Goblin Mugger/Goblin Leecher/Goblin Gambler
6    636  King Ranperre's Tomb    Ossuary Worm/Lemures
7    637  King Ranperre's Tomb    Spartoi Warrior/Hati
8    638  King Ranperre's Tomb    Spartoi Sorcerer/Ogre Bat
1    639     Dangruf Wadi        Stone Eater Stone Eaters/Rock Lizard
2    640     Dangruf Wadi        Members of the Goblin family/Wadi Crab
3    641     Dangruf Wadi        Wadi Hare/Wadi Leech
4    642     Dangruf Wadi        Fume Lizard/Goblin Brigand
5    643     Dangruf Wadi        Witchetty Grub/Goblin Headsman
6    644     Dangruf Wadi        Prim Pika/Goblin Healer
7    645     Dangruf Wadi        Goblin Conjurer/Goblin Bladesmith/Goblin Bushwhacker
8    646     Dangruf Wadi        Trimmer Trimmers/Natty Gibbon
1    647   Inner Horutoto Ruins    Battue Bats/Goblin Thug
2    648   Inner Horutoto Ruins    Blade Bat/Goblin Weaver
3    649   Inner Horutoto Ruins    Battle Bat/Blob
4    650   Inner Horutoto Ruins    Members of the evil weapon family/Will-o'-the-Wisp
5    651   Inner Horutoto Ruins    Troika Bats/Goblin Trailblazer
6    652   Inner Horutoto Ruins    Deathwatch Beetle/Goblin Flesher
7    653   Inner Horutoto Ruins    Covin Bat/Skinnymalinks
8    654   Inner Horutoto Ruins    Goblin Lurcher/Skinnymajinx
1    655    Ordelle's Caves     Stalking Sapling/Thread Leech
2    656    Ordelle's Caves     Fly Agaric/Shrieker
3    657    Ordelle's Caves     Members of the Goblin family/Will-o'-the-Wisp
4    658    Ordelle's Caves     Seeker Bats/Vorpal Bunny
5    659    Ordelle's Caves     Ancient Bat/Jelly
6    660    Ordelle's Caves     Goliath Beetle/Stroper
7    661    Ordelle's Caves     Buds Bunny/Targe Beetle
8    662    Ordelle's Caves     Bilis Leech/Swagger Spruce
1    663   Outer Horutoto Ruins    Four of Cups/Four of Batons/Four of Swords/Four of Coins
2    664   Outer Horutoto Ruins    Five of Cups/Five of Batons/Five of Swords/Five of Coins
3    665   Outer Horutoto Ruins    Six of Cups/Six of Batons/Six of Swords/Six of Coins
4    666   Outer Horutoto Ruins    Seven of Cups/Seven of Batons/Seven of Swords/Seven of Coins
5    667   Outer Horutoto Ruins    Eight of Cups/Eight of Batons/Eight of Swords/Eight of Coins
6    668   Outer Horutoto Ruins    Nine of Cups/Nine of Batons/Nine of Swords/Nine of Coins
7    669   Outer Horutoto Ruins    Fetor Bats/Fuligo
8    670   Outer Horutoto Ruins    Thorn Bat/Fuligo
1    671   The Eldieme Necropolis      Members of the skeleton family
2    672   The Eldieme Necropolis      Members of the shadow family
3    673   The Eldieme Necropolis      Members of the shadow family/Azer
4    674   The Eldieme Necropolis      Lich/Blood Soul
5    675   The Eldieme Necropolis      Tomb Wolf/Members of the skeleton family
6    676   The Eldieme Necropolis      Tomb Warrior/Tomb Mage
7    677   The Eldieme Necropolis      Hellbound Warrior/Nekros Hound
8    678   The Eldieme Necropolis      Hellbound Warlock/Nekros Hound
1    679     Gusgen Mines       Members of the skeleton family
2    680     Gusgen Mines       Fly Agaric/Members of the skeleton family
3    681     Gusgen Mines       Ore Eater/Bandersnatch
4    682     Gusgen Mines       Greater Pugil/Amphisbaena/Mauthe Doog
5    683     Gusgen Mines       Wight/Myconid
6    684     Gusgen Mines       Ghast/Gallinipper
7    685     Gusgen Mines       Accursed Soldier/Rockmill
8    686     Gusgen Mines       Accursed Sorcerer/Madfly
1    687    Crawlers' Nest      Worker Crawler/Death Jacket
2    688    Crawlers' Nest      Soldier Crawler/Nest Beetle
3    689    Crawlers' Nest      Labyrinth Lizard/Witch Hazel
4    690    Crawlers' Nest      Exoray/Hornfly
5    691    Crawlers' Nest      Rumble Crawler/Wespe Wespes/Dragonfly
6    692    Crawlers' Nest      Helm Beetle/Knight Crawler
7    693    Crawlers' Nest      King Crawler/Vespo
8    694    Crawlers' Nest      Dancing Jewel/Olid Funguar
1    695    Maze of Shakhrami   Members of the Goblin family/Stink Bats
2    696    Maze of Shakhrami   Maze Maker Maze Makers/Combat
3    697    Maze of Shakhrami   Ghoul Ghouls/Carnivorous Crawler
4    698    Maze of Shakhrami   Caterchipillar/Ancient Bat
5    699    Maze of Shakhrami   Abyss Worm/Ancient Bat
6    700    Maze of Shakhrami   Abyss Worm/Labyrinth Scorpion
7    701    Maze of Shakhrami   Chaser Bats/Bleeder Leech
8    702    Maze of Shakhrami   Warren Bat/Crypterpillar
1    703    Garlaige Citadel    Wingrats/Members of the skeleton family
2    704    Garlaige Citadel    Siege Bat/Borer Beetle
3    705    Garlaige Citadel    Members of the evil weapon family/Citadel Bats
4    706    Garlaige Citadel    Funnel Bats/Explosure
5    707    Garlaige Citadel    Droma/Chamber Beetle
6    708    Garlaige Citadel    Over Weapon/Vault Weapon/Wraith Wraiths
7    709    Garlaige Citadel    Donjon Bat/Kaboom
8    710    Garlaige Citadel    Fortalice Bats/Warden Beetle
1    711     Fei'Yin            Vampire Bat/Drone
2    712     Fei'Yin            Members of the shadow family/Ore Golem
3    713     Fei'Yin            Underworld Bats/Talos
4    714     Fei'Yin            Underworld Bats/Droma
5    715     Fei'Yin            Underworld Bats/Colossus
6    716     Fei'Yin            Killing Weapon/Hellish Weapon
7    717     Fei'Yin            Balayang/Wekufe
8    718     Fei'Yin            Balayang/Sentient Carafe
1    719    The Boyahda Tree    Death Cap/Bark Spider
2    720    The Boyahda Tree    Mourioche/Robber Crab
3    721    The Boyahda Tree    Mourioche/Moss Eater
4    722    The Boyahda Tree    Korrigan/Elder Goobbue
5    723    The Boyahda Tree    Skimmer/Steelshell
6    724    The Boyahda Tree    Processionaire/Darter
7    725    The Boyahda Tree    Boyahda Sapling/Bark Tarantula
8    726    The Boyahda Tree    Viseclaw/Snaggletooth Peapuk/Mourning Crawler
1    727    Korroloka Tunnel    Land Worm/Seeker Bats
2    728    Korroloka Tunnel    Seeker Bats/Combat
3    729    Korroloka Tunnel    Huge Spider/Jelly
4    730    Korroloka Tunnel    Thread Leech
5    731    Korroloka Tunnel    Clipper/Greater Pugil
6    732    Korroloka Tunnel    Bogy
7    733    Korroloka Tunnel    Members of the Gigas family
8    734    Korroloka Tunnel    Lacerator/Spool Leech
1    735    Kuftal Tunnel       Robber Crab/Sand Lizard
2    736    Kuftal Tunnel       Robber Crab/Haunt
3    737    Kuftal Tunnel       Cave Worm/Recluse Spider
4    738    Kuftal Tunnel       Robber Crab/Sabotender Sediendo
5    739    Kuftal Tunnel       Kuftal Digger/Recluse Spider
6    740    Kuftal Tunnel       Deinonychus/Members of the Goblin family
7    741    Kuftal Tunnel       Ovinnik/Greater Cockatrice
8    742    Kuftal Tunnel       Kuftal Delver Kuftal Delvers/Machairodus
1    743   Ve'Lugannon Palace   arcana-type creatures
2    744   Ve'Lugannon Palace   Members of the evil weapon family
3    745   Ve'Lugannon Palace   Dustbuster
4    746   Ve'Lugannon Palace   Caretaker
5    747   Ve'Lugannon Palace   Enkidu
6    748   Ve'Lugannon Palace   Members of the elemental family
1    749   The Shrine of Ru'Avitau   arcana-type creatures
2    750   The Shrine of Ru'Avitau   Members of the elemental family
3    751   The Shrine of Ru'Avitau   Aura Pot Aura Pots
4    752   The Shrine of Ru'Avitau   Members of the doll family
5    753   The Shrine of Ru'Avitau   Members of the evil weapon family
6    754   The Shrine of Ru'Avitau   Members of the golem family
1    755    Ifrit's Cauldron    Volcano Wasp/Volcanic Gas
2    756    Ifrit's Cauldron    Old Opo-opo Old Opo-opos/Volcanic Gas
3    757    Ifrit's Cauldron    Members of the Goblin family/Volcanic Gas
4    758    Ifrit's Cauldron    Eotyrannus/Volcanic Gas
5    759    Ifrit's Cauldron    Volcanic Gas/Sulfur Scorpion
6    760    Ifrit's Cauldron    Nightmare Bats/Volcanic Bomb
7    761    Ifrit's Cauldron    Ash Lizard/Volcanic Bomb
8    762    Ifrit's Cauldron    Hurricane Wyvern/Volcanic Bomb
1    763    Gustav Tunnel       Labyrinth Lizard/Labyrinth Leech/Members of the bat family
2    764    Gustav Tunnel       Hawker/Makara/Members of the Goblin family
3    765    Gustav Tunnel       Robber Crab/Members of the skeleton family/Members of the Goblin family
4    766    Gustav Tunnel       Doom Warlock/Demonic Pugil
5    767    Gustav Tunnel       Doom Guard/Erlik
6    768    Gustav Tunnel       Doom Guard/Antares
7    769    Gustav Tunnel       Doom Warlock/Typhoon Wyvern
8    770    Gustav Tunnel       Boulder Eater/Pygmytoise
1    771   Labyrinth of Onzozo   Labyrinth Leech Labyrinth Leeches/Members of the Goblin family
2    772   Labyrinth of Onzozo   Cockatrice/Members of the Goblin family
3    773   Labyrinth of Onzozo   Mushussu/Cockatrice
4    774   Labyrinth of Onzozo   Members of the sea monk family/Members of the Goblin family
5    775   Labyrinth of Onzozo   Torama/Labyrinth Manticore
6    776   Labyrinth of Onzozo   Babaulas/Boribaba
1    777   Lower Delkfutt's Tower   Members of the bat family/Members of the Goblin family
2    778   Lower Delkfutt's Tower   Members of the bat family/Members of the Gigas family
3    779   Lower Delkfutt's Tower   Members of the bat family/Chaos Idol
4    780   Lower Delkfutt's Tower   Members of the bat family/Bogy
5    781   Lower Delkfutt's Tower   Members of the bat family/Members of the magic pot family
1    782   Middle Delkfutt's Tower   Members of the Goblin family/Members of the bat family
2    783   Middle Delkfutt's Tower   Members of the Gigas family/Members of the bat family
3    784   Middle Delkfutt's Tower   Members of the Goblin family/Members of the Gigas family
1    785   Upper Delkfutt's Tower   Members of the Gigas family
2    786   Upper Delkfutt's Tower   Jotunn Wallkeeper/Jotunn Gatekeeper/Members of the bat family
3    787   Upper Delkfutt's Tower   Jotunn Hallkeeper/Jotunn Wildkeeper/Members of the bat family
4    788   Upper Delkfutt's Tower   Jotunn Gatekeeper/Jotunn Hallkeeper/arcana-type creatures
5    789   Upper Delkfutt's Tower   Jotunn Wildkeeper/Jotunn Wallkeeper/arcana-type creatures
1    790    Temple of Uggalepih     Members of the Tonberry family/Members of the bee family
2    791    Temple of Uggalepih     Members of the Tonberry family/Rumble Crawler
3    792    Temple of Uggalepih     Members of the Tonberry family/Temple Opo-opo
4    793    Temple of Uggalepih     Members of the Tonberry family/Temple Bee
5    794    Temple of Uggalepih     Members of the Tonberry family/Hover Tank
6    795    Temple of Uggalepih     Members of the Tonberry family/Iron Maiden
1    796    Den of Rancor           Dire Bat/Cave Worm
2    797    Den of Rancor           Dire Bat/Mousse
3    798    Den of Rancor           Members of the Tonberry family
4    799    Den of Rancor           Succubus Bats/Members of the Tonberry family
5    800    Den of Rancor           Million Eyes/Members of the Tonberry family
6    801    Den of Rancor           Demonic Pugil/Doom Toad
7    802    Den of Rancor           Tormentor/Puck Pucks
8    803    Den of Rancor           Tormentor/Bullbeggar
1    804    Sea Serpent Grotto      Royal Leech/Undead Bats
2    805    Sea Serpent Grotto      Ironshell/Members of the skeleton family
3    806    Sea Serpent Grotto      Members of the Sahagin family/Vampire Bat
4    807    Sea Serpent Grotto      Members of the Sahagin family/Bigclaw
5    808    Sea Serpent Grotto      Members of the Sahagin family/Grotto Pugil
6    809    Sea Serpent Grotto      Robber Crab/Dire Bat
7    810    Sea Serpent Grotto      Robber Crab/Devil Manta
8    811    Sea Serpent Grotto      Mindgazer/Greatclaw Greatclaws
1    812    Quicksand Caves         Sand Spider/Members of the Antica family
2    813    Quicksand Caves         Helm Beetle/Members of the Antica family
3    814    Quicksand Caves         Members of the worm family/Members of the Antica family
4    815    Quicksand Caves         Members of the Antica family
5    816    Quicksand Caves         Members of the sabotender family/Members of the Antica family
6    817    Quicksand Caves         Sand Lizard/Members of the Antica family
7    818    Quicksand Caves         Girtab/Members of the Antica family
8    819    Quicksand Caves         Sand Tarantula/Members of the Antica family
